Date,Close,Open,High,Low,Volume
10/18/2023,33,33.2,34,30.3,2.08M
10/17/2023,33,29.9,34,29.75,2.58M
10/16/2023,30,28.67,30.2,28.5,618.11K
10/15/2023,28.5,28.5,29.8,28.25,1.26M
10/12/2023,28.5,26.9,28.75,26.51,1.23M
10/11/2023,26.9,27.25,27.47,26.7,251.58K
10/10/2023,27.07,26.16,27.3,26.03,795.88K
10/9/2023,26.12,25.91,26.5,25.72,284.06K
10/8/2023,25.9,26.6,26.6,24.52,1.05M
10/4/2023,26.75,27,27,26.1,1.27M
10/3/2023,27.01,27.4,27.4,26.5,701.50K
10/2/2023,26.76,27.5,28.1,26.05,1.12M
10/1/2023,27.51,26.3,27.6,26.06,1.48M
9/27/2023,26.35,26.85,27.15,26.04,1.08M
9/26/2023,26.78,25.98,26.9,25.95,2.93M
9/25/2023,25.9,24.3,26.25,24.3,4.10M
9/24/2023,24.28,24.15,24.42,23.87,582.42K
9/21/2023,24.1,23.7,24.14,23.7,446.26K
9/20/2023,23.9,24.23,24.23,23.65,246.14K
9/19/2023,24.02,24.32,24.55,23.81,488.66K
9/18/2023,24.3,24.49,24.85,24.13,269.67K
9/17/2023,24.32,25,25.3,24.01,413.15K
9/14/2023,24.84,24.28,25.01,24,1.16M
9/13/2023,24,24,24.1,23.7,123.67K
9/12/2023,24,23.58,24,23.35,385.14K
9/11/2023,23.58,23.86,24.1,23.5,161.64K
9/10/2023,24,23.75,24.25,23.7,306.38K
9/7/2023,23.73,23.37,23.79,23.34,284.73K
9/6/2023,23.32,23.65,23.7,23.3,320.14K
9/5/2023,23.79,24.45,24.45,23.75,602.33K
9/4/2023,24.2,24.2,24.48,24,243.57K
9/3/2023,24.19,25,25,24,153.81K
8/31/2023,24.85,25.46,25.47,24.8,70.85K
8/30/2023,25,25.36,25.36,24.8,177.55K
8/29/2023,24.99,25.7,25.77,24.81,783.82K
8/28/2023,25.5,24.83,25.72,24.83,450.18K
8/27/2023,24.98,24.55,25,24.2,91.43K
8/24/2023,24.19,24.25,24.85,24,74.26K
8/23/2023,24.21,24.6,24.77,24,103.00K
8/22/2023,24.55,24.75,24.75,24.46,67.01K
8/21/2023,24.57,24.85,25.25,24.5,185.75K
8/20/2023,24.95,25.2,25.22,24.88,47.09K
8/17/2023,24.99,25.01,25.25,24.91,26.93K
8/16/2023,25.24,24.62,25.5,24.62,151.29K
8/15/2023,24.62,25,25,24.52,234.87K
8/14/2023,25,24.95,25.25,24.81,921.30K
8/13/2023,25,24.82,25.2,24.35,291.32K
8/10/2023,24.69,24.75,24.84,24.35,32.91K
8/9/2023,24.92,25,25.2,24.6,485.46K
8/8/2023,24.93,24.8,25.19,24.58,302.84K
8/7/2023,24.8,24.26,24.8,23.92,347.38K
8/6/2023,24.03,23.77,24.33,23.65,88.11K
8/3/2023,24.01,24.25,24.5,23.54,46.00K
8/2/2023,24.02,23.87,24.39,23.63,56.19K
8/1/2023,23.66,24.4,25,23.53,530.10K
7/31/2023,24.4,24.49,24.59,24.1,152.68K
7/30/2023,24.49,23.5,24.5,23.22,577.41K
7/27/2023,23.42,23,23.5,22.81,206.73K
7/26/2023,23.1,22.39,23.16,22.39,383.76K
7/25/2023,22.39,22.72,22.72,22.35,608.85K
7/24/2023,22.52,22.55,22.77,22.5,877.36K
7/19/2023,22.58,22.95,22.95,22.55,740.12K
7/18/2023,22.79,22.9,23,22.52,545.36K
7/17/2023,22.51,22.78,22.89,22.46,91.41K
7/16/2023,22.67,22.9,23,22.5,24.83K
7/13/2023,22.9,22.8,23.03,22.75,329.19K
7/12/2023,22.83,23,23,22.5,192.18K
7/11/2023,22.88,23.35,23.35,22.65,1.76M
7/10/2023,23,22.5,23.25,22.1,185.26K
7/9/2023,22.43,23.4,23.75,22.23,167.21K
7/6/2023,23.79,23.64,24.1,23.4,220.19K
7/5/2023,23.64,23,24.4,23,540.98K
7/4/2023,23.27,23.25,23.5,23,600.49K
6/26/2023,23.25,22.23,23.25,22.2,711.75K
6/25/2023,22.23,22.35,22.8,22.02,127.62K
6/22/2023,22.31,22.54,22.76,22.23,913.70K
6/21/2023,22.53,22.31,23.1,22.3,834.61K
6/20/2023,22.31,22.95,23,22.22,2.03M
6/19/2023,22.66,21.72,23.6,21.6,2.90M
6/18/2023,21.81,22.05,22.48,21.76,360.45K
6/15/2023,21.98,21.8,22,21.8,82.72K
6/14/2023,21.8,22,22.5,21.79,236.69K
6/13/2023,22,22.65,22.8,21.7,485.54K
6/12/2023,22.55,22.5,22.9,22,58.34K
6/11/2023,22.15,23.1,23.57,22.1,532.99K
6/8/2023,22.98,24,24,22.52,451.59K
6/7/2023,23.66,24.57,24.99,23.5,229.81K
6/6/2023,24.57,25,25.2,24.5,426.69K
6/5/2023,25,25.57,25.57,24.86,323.36K
6/4/2023,25.42,25,25.57,24.1,177.79K
6/1/2023,24.86,24.9,25.15,24.81,874.86K
5/31/2023,24.22,25.25,26,24.2,1.66M
5/30/2023,25.9,23.8,25.98,23.33,1.55M
5/29/2023,23.87,23.88,23.95,23.3,532.26K
5/28/2023,23.89,22.5,23.95,22.49,1.00M
5/25/2023,22.23,22.7,23.11,22.03,684.39K
5/24/2023,22.39,22.2,22.68,22,85.70K
5/23/2023,22.31,22.61,22.65,21.9,301.27K
5/22/2023,22.6,22.65,22.99,22.54,244.95K
5/21/2023,23,23.19,23.19,22.51,179.98K
5/18/2023,22.66,22.8,23.35,22.33,83.24K
5/17/2023,22.73,23,23.1,22.4,287.09K
5/16/2023,23.08,23.2,23.2,22.4,383.33K
5/15/2023,23.38,23.5,23.85,23.25,2.15M
5/14/2023,23.42,21.01,23.8,21,2.42M
5/11/2023,21.5,21.75,21.75,20.87,414.71K
5/10/2023,21.48,21.97,22.2,21.25,154.87K
5/9/2023,21.75,22.25,22.55,21.75,1.18M
5/8/2023,21.98,21.2,21.98,21.2,1.02M
5/7/2023,21.2,21.67,21.67,21.1,88.70K
5/3/2023,21.7,21.34,21.7,20.91,595.43K
5/2/2023,21.34,21.08,21.47,20.8,347.65K
5/1/2023,21.08,21,21.39,20.3,597.57K
4/30/2023,20.99,21.99,22.5,20.91,1.38M
4/27/2023,21.7,20.86,21.94,20.6,396.50K
4/26/2023,20.88,21,21.1,20,671.25K
4/19/2023,21.19,21.43,21.57,20.77,292.19K
4/18/2023,21.39,19.4,21.6,19.4,1.80M
4/13/2023,19.45,19,19.6,18.75,853.49K
4/12/2023,18.92,19,19.25,18.8,159.89K
4/11/2023,18.97,19,19.4,18.9,295.19K
4/10/2023,18.72,19,19.23,18.65,1.20M
4/9/2023,18.74,19.13,19.13,18.5,328.83K
4/6/2023,19.15,19.5,19.78,18.8,457.65K
4/5/2023,19.52,20.1,20.25,19.31,582.73K
4/4/2023,20,19.47,20.08,19.18,1.25M
4/3/2023,19.39,18.78,19.47,18.68,799.88K
4/2/2023,18.73,18.45,18.9,18.4,645.11K
3/30/2023,18.43,18.9,19.5,18.26,1.17M
3/29/2023,18.67,17.49,19,17.4,1.75M
3/28/2023,17.4,17.5,17.75,17.33,336.65K
3/27/2023,17.44,17.95,18,17.39,731.81K
3/26/2023,17.8,17.93,18.14,17.65,295.37K
3/23/2023,17.5,17.92,17.93,17.4,607.02K
3/22/2023,17.73,18.43,18.47,17.5,1.39M
3/21/2023,18.33,18.37,18.48,18.01,55.95K
3/20/2023,18.17,18,18.5,17.7,94.12K
3/19/2023,17.84,17.35,18,16.32,255.10K
3/16/2023,17.03,16.9,17.4,16,342.84K
3/15/2023,16.95,18.55,18.8,16.5,277.01K
3/14/2023,18.24,17.54,18.5,17.2,370.65K
3/13/2023,17.76,18.9,18.9,17.68,351.76K
3/12/2023,18.47,19.18,19.2,18,252.35K
3/9/2023,19.27,18.99,19.34,18.84,167.97K
3/8/2023,19.07,19.37,19.5,18.76,327.92K
3/7/2023,19.37,19.75,19.94,19.35,98.79K
3/6/2023,19.66,19.95,20.08,19.61,304.09K
3/5/2023,19.8,19.8,19.96,19.02,398.48K
3/2/2023,19.6,20.1,20.15,19.52,376.24K
3/1/2023,19.93,20.07,20.2,19.9,458.78K
2/28/2023,19.89,20,20.19,19.84,291.47K
2/27/2023,19.93,20.66,20.8,19.8,795.30K
2/26/2023,20.48,19.92,20.57,19.92,387.30K
2/23/2023,19.92,20.02,20.02,19.65,1.99M
2/22/2023,20.14,20.51,20.74,19.8,755.89K
2/21/2023,20.5,20.7,20.7,20.2,1.47M
2/20/2023,20.73,21.67,21.67,20.55,417.94K
2/19/2023,21.28,21.7,21.75,21.15,436.53K
2/16/2023,21.51,21.86,22.3,21.4,350.30K
2/15/2023,21.85,22.02,22.3,21.75,722.66K
2/14/2023,22.02,21.75,22.15,21.5,3.61M
2/13/2023,21.7,21.4,22,21.4,617.24K
2/12/2023,21.35,21.89,22.19,21.2,794.56K
2/9/2023,22.3,21.99,22.49,21.55,872.73K
2/8/2023,21.6,22.88,22.92,21.03,1.48M
2/7/2023,22.78,21.53,22.88,21.53,995.85K
2/6/2023,21.46,21.44,22,21.12,468.74K
2/5/2023,21.1,21.75,21.75,20.1,1.45M
2/2/2023,21.27,22.03,23,20.9,1.63M
2/1/2023,21.44,22,22.45,20,2.99M
1/31/2023,21.86,22.34,23.12,21.2,1.26M
1/30/2023,22.1,23.87,24,20.71,1.62M
1/29/2023,23.64,21.52,23.99,21.52,1.37M
1/25/2023,21.37,19.75,22.01,19.75,2.00M
1/24/2023,19.71,19.5,19.99,19.21,374.99K
1/23/2023,19.58,19.3,19.89,19,446.77K
1/22/2023,19.16,19.25,19.49,18.95,370.80K
1/19/2023,19.28,19.5,19.75,19.17,431.64K
1/18/2023,19.29,20.9,20.9,19.15,985.28K
1/17/2023,20.65,21.24,21.45,20.5,501.97K
1/16/2023,21.24,19.85,21.89,19.85,1.64M
1/15/2023,19.61,18.9,19.8,18.9,326.26K
1/12/2023,18.9,18.74,19.18,17.9,297.74K
1/11/2023,18.37,18.1,20,17.85,1.22M
1/10/2023,18.1,17.3,18.5,17.1,2.56M
1/9/2023,17.23,17.7,17.97,17.15,756.30K
1/5/2023,17.56,17.63,18.05,17.45,756.53K
1/4/2023,17.59,17.8,17.9,17.24,836.94K
1/3/2023,17.72,18,18.1,17.69,1.10M
1/2/2023,17.95,18.14,18.24,17.9,248.29K
12/29/2022,17.97,21.32,21.32,17.5,713.09K
12/28/2022,17.77,18,18.5,17.5,1.13M
12/27/2022,18.33,17.95,18.5,17.6,1.24M
12/26/2022,17.95,17.75,17.99,17.5,153.18K
12/25/2022,17.73,17.3,17.79,17.24,217.79K
12/22/2022,17.32,17.85,17.85,17.25,282.04K
12/21/2022,17.72,17.86,17.86,17.6,306.83K
12/20/2022,17.86,17.6,17.98,17.4,1.01M
12/19/2022,17.49,17.38,17.7,16.61,633.99K
12/18/2022,16.99,17.75,17.75,16.51,1.76M
12/15/2022,17.89,17.95,18.5,17.81,917.14K
12/14/2022,17.78,17.45,17.95,16.5,659.96K
12/13/2022,16.23,16.98,17.06,16.04,1.22M
12/12/2022,16.66,15.07,16.66,14.75,2.82M
12/11/2022,15.03,14.65,15.38,14.65,2.08M
12/8/2022,14.63,15.07,15.16,14.48,750.83K
12/7/2022,14.99,14.59,15.06,14.52,2.91M
12/6/2022,14.52,14.24,14.56,14.24,1.11M
12/5/2022,14.28,14.53,14.61,14.17,2.23M
12/4/2022,14.48,14.32,14.77,14.32,1.71M
12/1/2022,14.31,14.52,14.61,14.25,690.35K
11/30/2022,14.37,14.33,14.87,14.24,2.95M
11/29/2022,14.28,13.44,14.33,13.39,5.96M
11/28/2022,13.44,13.06,13.59,12.98,5.94M
11/27/2022,12.98,12.65,13.23,12.55,2.62M
11/24/2022,12.52,12.42,12.77,12.42,3.95M
11/23/2022,12.4,11.87,12.42,11.84,3.97M
11/22/2022,11.84,11.95,12.02,11.73,1.09M
11/21/2022,12.22,12.53,12.53,12.19,638.12K
11/20/2022,12.48,12.51,12.6,12.3,321.82K
11/17/2022,12.5,12.62,12.74,12.46,513.45K
11/16/2022,12.65,12.05,12.78,11.92,1.51M
11/15/2022,12.01,12.08,12.08,11.9,390.22K
11/14/2022,12.08,11.81,12.13,11.69,1.47M
11/13/2022,11.77,11.53,11.83,11.53,676.83K
11/10/2022,11.48,11.4,11.53,11.23,1.04M
11/9/2022,11.18,11.18,11.26,11.07,247.72K
11/8/2022,11.12,11.5,11.57,11.08,935.88K
11/7/2022,11.46,11.6,11.6,11.39,857.82K
11/6/2022,11.5,11.58,11.64,11.47,995.34K
11/3/2022,11.58,11.6,11.76,11.41,513.73K
11/2/2022,11.5,11.81,11.81,11.38,437.93K
11/1/2022,11.71,11.87,11.87,10.77,1.83M
10/31/2022,12.11,12.19,12.23,11.82,36.13K
10/30/2022,12.19,12.31,12.31,12.1,115.14K
10/27/2022,12.36,12.23,12.87,12.07,657.05K
10/26/2022,12.02,11.99,12.18,11.96,31.65K
10/25/2022,12.11,12.28,12.28,11.96,15.30K
10/24/2022,12.11,12.28,12.41,12.02,80.50K
10/23/2022,12.22,12.01,12.4,11.92,138.87K
10/20/2022,11.9,11.88,12.01,11.78,78.76K
10/19/2022,11.89,11.88,12.05,11.88,27.43K
10/18/2022,11.88,11.62,11.92,11.62,89.08K
10/17/2022,11.68,12.1,12.1,11.6,109.27K
10/16/2022,11.59,11.55,12.14,11.55,60.90K
10/13/2022,11.51,11.87,12.14,11.42,86.25K
10/12/2022,11.74,11.96,11.96,11.69,88.01K
10/11/2022,11.93,12.42,12.42,11.69,150.70K
